source_file,timestep,order,score,p0_action,p1_action,p0_llm_calls,p1_llm_calls,p0_comm_tokens,p1_comm_tokens,p0_comm_turns,p1_comm_turns,p0_comm_digest,p1_comm_digest,p0_format_err,p1_format_err,p0_validator_err,p1_validator_err,p0_validator_msg,p1_validator_msg,p0_val_corr_tokens,p1_val_corr_tokens,p0_fmt_corr_tokens,p1_fmt_corr_tokens,p0_last_llm_say,p1_last_llm_say,p0_last_plan,p1_last_plan,p0_model,p1_model,scene_snippet
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,10,baked_potato_slices,0,wait(1),place_obj_on_counter(),1,0,496,0,3,0,Please place the potato_slices on the counter so I can bake them in the oven. | I've placed the potato slices on the counter for you. Please pick them up and bake them... | [NOTHING],,0,0,1,0,"There is no potato_slices on counter chef can visited.If assistant is already preparing ingredient for you,you should...",,126,0,0,0,Please place the potato_slices on the counter so I can bake them in the oven.,I've placed the potato slices on the counter for you. Please pick them up and bake them in the oven to complete the baked_potato_slices o...,Chef plan: wait(1),Assistant plan: place_obj_on_counter(),gpt-4o,claude-sonnet-4-20250514,"Scene 10: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [pickup(potato_slices, counter)] <Assistant> holds one potato_slices. The planned sequence of actions (yet to be perfor..."
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,11,baked_potato_slices,0,wait(1),place_obj_on_counter(),1,0,546,0,3,0,"Please place the potato slices on the counter, so I can place them in the oven to bake. | I'm placing the potato slices on the counter now so you can pick them up and put them i... | Please place the potato slices on the counter so I can put them in the oven to bake. [END]",,0,0,0,0,,,0,0,0,0,Please place the potato slices on the counter so I can put them in the oven to bake. [END],I'm placing the potato slices on the counter now so you can pick them up and put them in the oven to bake them.,Chef plan: request('place_obj_on_counter()'),Assistant plan: place_obj_on_counter(),gpt-4o,claude-sonnet-4-20250514,Scene 11: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds one potato_slices. The planned sequence of actions (yet to be performed) for Assistant is [place_o...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,12,baked_potato_slices,0,"pickup(potato_slices, counter)",wait(3),0,0,0,0,0,0,,,0,0,0,1,,"There is no object in assistant's hand, so can not place object on counter.",0,323,0,0,,,"Chef plan: pickup(potato_slices, counter);put_obj_in_utensil(oven0);bake(oven0)",Assistant plan: wait(3),gpt-4o,claude-sonnet-4-20250514,Scene 12: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [place_obj_on_coun...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,13,baked_potato_slices,0,"pickup(potato_slices, counter)",wait(3),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,14,baked_potato_slices,0,"pickup(potato_slices, counter)",wait(3),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,15,baked_potato_slices,0,put_obj_in_utensil(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,Assistant plan: wait(5),gpt-4o,claude-sonnet-4-20250514,Scene 15: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds one potato_slices. The planned sequence of actions (yet to be performed) for Chef is [put_obj...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,16,baked_potato_slices,0,put_obj_in_utensil(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,17,baked_potato_slices,0,put_obj_in_utensil(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,18,baked_potato_slices,0,bake(oven0),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,gpt-4o,claude-sonnet-4-20250514,[] []
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,19,baked_potato_slices,0,wait(2),wait(5),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Chef plan: wait(2),,gpt-4o,claude-sonnet-4-20250514,Scene 19: <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [wait(5)] Kitchen ...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,20,baked_potato_slices,0,wait(2),wait(1),0,1,0,885,0,3,,"What should I do next for the baked_potato_slices recipe? Should I prepare more potato ... | The potato slices are in the oven, and they will be ready after 1 timestep. There's no ... | Understood! I'll wait for the baking to complete. You can handle taking the baked potat...",0,0,0,0,,,0,0,0,0,"The potato slices are in the oven, and they will be ready after 1 timestep. There's no need for chopped onion in this recipe, so please d...",Understood! I'll wait for the baking to complete. You can handle taking the baked potato slices from the oven and serving them. [END],Chef plan: wait(1),Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 20: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] Kitchen states:...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,21,baked_potato_slices,0,wait(1),wait(1),0,1,0,585,0,3,,The baked_potato_slices are ready in oven0! Please pick them up and serve them to compl... | [NOTHING] | [NOTHING],0,0,0,0,,,0,0,0,0,,The baked_potato_slices are ready in oven0! Please pick them up and serve them to complete the order.,"Chef plan: pickup(baked_potato_slices, oven0);deliver_soup()",Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 21: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [] Kitchen states:...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,22,baked_potato_slices,0,"pickup(baked_potato_slices, oven0)",wait(1),0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 22: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds nothing. The planned sequence of actions (yet to be performed) for Chef is [pickup(baked_pota...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,23,baked_potato_slices,0,deliver_soup(),wait(1),0,1,0,562,0,3,,"Chef, I see you have the baked_potato_slices ready and are planning to deliver. Should ... | The order is complete, thank you for your assistance. [END] | You're welcome! Great teamwork on completing the baked_potato_slices order. [END]",0,0,0,0,,,0,0,0,0,"The order is complete, thank you for your assistance. [END]",You're welcome! Great teamwork on completing the baked_potato_slices order. [END],Chef plan: deliver_soup(),Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 23: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds one baked_potato_slices. The planned sequence of actions (yet to be performed) for Chef is [d...
/Users/ashishrajshekhar/Desktop/Collab-Overcooked/src/data/gpt-4o__claude-sonnet-4-20250514/baked_potato_slices/experiment_2026-04-23_08-01-39_baked_potato_slices.json,24,baked_potato_slices,20,deliver_soup(),wait(1),0,1,0,647,0,3,,"Chef, you're holding the finished baked_potato_slices! You should deliver them to compl... | Thank you for pointing that out. I'm delivering the baked_potato_slices now to complete... | Perfect! The order is complete. Great teamwork! [END]",0,0,0,0,,,0,0,0,0,Thank you for pointing that out. I'm delivering the baked_potato_slices now to complete our order. [END],Perfect! The order is complete. Great teamwork! [END],Chef plan: deliver_soup(),Assistant plan: wait(1),gpt-4o,claude-sonnet-4-20250514,Scene 24: <Assistant> holds nothing. The planned sequence of actions (yet to be performed) for Assistant is [] <Chef> holds one baked_potato_slices. The planned sequence of actions (yet to be performed) for Chef is [d...
